EBT Packet Time	tracking	tracking time(s)	T[0,0]	T[0,1]	T[0,2]	T[0,3]	T[1,0]	T[1,1]	T[1,2]	T[1,3]	T[2,0]	T[2,1]	T[2,2]	T[2,3]	T[3,0]	T[3,1]	T[3,2]	T[3,3]	Frame Time(ms)	KUKA Data Time	x	y	z	a	b	c
1464723493.857457	0	0.41793	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	21146	1464723493.856238	86.641600	225.588400	-53.274900	3.570500	-6.638400	1.755900	
1464723494.305806	0	0.44781	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	448	1464723494.300263	67.880600	328.291700	-41.722100	2.794300	-5.201500	1.412500	
1464723494.634595	0	0.32755	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	329	1464723494.624263	53.041600	409.496700	-32.610300	2.184700	-4.064000	1.127800	
1464723494.946528	0	0.31085	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	311	1464723494.936167	40.732200	477.215800	-25.082200	1.663600	-3.107800	0.895000	
1464723495.287679	0	0.34021	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	341	1464723495.284171	38.654100	488.369100	-23.820700	1.580800	-2.958400	0.843600	
1464723495.638903	0	0.34939	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	350	1464723495.632246	38.618800	488.507900	-23.793300	1.584000	-2.960200	0.836700	
1464723495.976892	0	0.33635	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	338	1464723495.968278	38.528800	488.882900	-23.722500	1.586300	-2.961500	0.823300	
1464723496.303824	0	0.32560	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	327	1464723496.292192	30.475900	532.846300	-18.748600	1.252900	-2.341200	0.665500	
1464723496.647213	0	0.34233	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	343	1464723496.640183	20.125500	589.741300	-12.374800	0.825300	-1.541300	0.449100	
1464723496.968041	0	0.31971	0.999000	0.038000	0.015000	-0.422000	-0.040000	0.986000	0.161000	0.053000	-0.009000	-0.162000	0.987000	2.173000	0.000000	0.000000	0.000000	1.000000	320	1464723496.964179	11.388000	631.867900	-7.504200	0.505500	-0.968200	0.295400	
